ST_NUM,ST_NAME,CITY,ZIPCODE,GIS_ID,TOTAL_SCORE,latitude,longitude,grid_code
12,FOSSDALE RD,DORCHESTER,2124,1603283000,51,42.28546647050295,-71.05989462768954,156
29,WILCOX RD,DORCHESTER,2124,1603285000,51,42.2862274771815,-71.05878882954238,139
32,BATESWELL RD,DORCHESTER,2124,1603286000,51,42.2863045493742,-71.05849193879646,139
30,BATESWELL RD,DORCHESTER,2124,1603287000,51,42.286187824998905,-71.05843500679313,139
26,BATESWELL RD,DORCHESTER,2124,1603288000,51,42.28606749277925,-71.05837673837517,139
22,BATESWELL RD,DORCHESTER,2124,1603289000,51,42.2859540878309,-71.05832182017362,157
18,BATESWELL RD,DORCHESTER,2124,1603290000,51,42.2858377448959,-71.05826547133998,157
14,BATESWELL RD,DORCHESTER,2124,1603291000,51,42.28572032285345,-71.0582085207715,157
68,BEAUMONT ST,DORCHESTER,2124,1603293000,51,42.28544225105745,-71.05802455247733,157
15,WILCOX RD,DORCHESTER,2124,1603297000,51,42.2856670587118,-71.05851842234432,157
17,WILCOX RD,DORCHESTER,2124,1603298000,51,42.28580060791205,-71.0585831688915,157
21,WILCOX RD,DORCHESTER,2124,1603299000,51,42.285932039485104,-71.05864690400136,157
25,WILCOX RD,DORCHESTER,2124,1603300000,51,42.28606197398235,-71.05870986408749,139
36,MALLET ST,DORCHESTER,2124,1602872000,51,42.29023520496805,-71.05801593623633,139
40,MALLET ST,DORCHESTER,2124,1602871000,51,42.2902002732043,-71.0581525077208,139
20,DAWSON ST,DORCHESTER,2124,1602850000,51,42.2898056492922,-71.05863909443173,139
72,WESTGLOW ST,DORCHESTER,2122,1602118000,51,42.29021894947315,-71.05140472769071,142
25,WESTGLOW ST,DORCHESTER,2122,1602088000,51,42.28895302262545,-71.05453051090785,141
27,WESTGLOW ST,DORCHESTER,2122,1602089000,51,42.28899183794415,-71.0543909744241,141
29,WESTGLOW ST,DORCHESTER,2122,1602090000,51,42.289030247191846,-71.05425260013635,141
494,ASHMONT ST,DORCHESTER,2122,1602097000,51,42.28911197355775,-71.05301887625276,141
488,ASHMONT ST,DORCHESTER,2122,1602099000,51,42.2890363966776,-71.05329782589222,141
484,ASHMONT ST,DORCHESTER,2122,1602100000,51,42.28899765621365,-71.05343782867718,141
37,WESTGLOW ST,DORCHESTER,2122,1602103000,51,42.289222715010254,-71.05355054660126,141
41,WESTGLOW ST,DORCHESTER,2122,1602105000,51,42.2893003990424,-71.05327291160167,141
43,WESTGLOW ST,DORCHESTER,2122,1602106000,51,42.2893399449424,-71.0531328619563,141
47,WESTGLOW ST,DORCHESTER,2122,1602107000,51,42.28938030823706,-71.05299625760878,141
51,WESTGLOW ST,DORCHESTER,2122,1602108000,51,42.28938637574555,-71.05284279303325,141
154,TRAIN ST,DORCHESTER,2122,1602109000,51,42.29025429857225,-71.05255984393685,142
60,WESTGLOW ST,DORCHESTER,2122,1602121000,51,42.2900974660634,-71.05188031925428,142
586,ASHMONT ST,DORCHESTER,2122,1602174000,51,42.289979625636846,-71.04974336872259,143
58,WESTGLOW ST,DORCHESTER,2122,1602122000,51,42.290056735977046,-71.05203977568547,142
160,TRAIN ST,DORCHESTER,2122,1602124000,51,42.2898966448235,-71.05238656432027,142
158,TRAIN ST,DORCHESTER,2122,1602125000,51,42.2900152265818,-71.052448298504,142
60,BOUTWELL ST,DORCHESTER,2122,1602127000,51,42.290815272000344,-71.05286577210035,123
56,BOUTWELL ST,DORCHESTER,2122,1602128000,51,42.29086010718435,-71.05261516656458,124
2,ARBROTH ST,DORCHESTER,2122,1602142000,51,42.29062598046685,-71.0525012325823,142
146,TRAIN ST,DORCHESTER,2122,1602144000,51,42.290582569005394,-71.05274493830944,142
144,TRAIN ST,DORCHESTER,2122,1602145000,51,42.290699929301454,-71.0528077459286,123
20,BOUTWELL ST,DORCHESTER,2122,1602146000,51,42.29131953011315,-71.05084955031032,124
25,FROST AV,DORCHESTER,2122,1602151000,51,42.29042006318715,-71.0504568911578,143
84,WESTGLOW ST,DORCHESTER,2122,1602152000,51,42.2903524526464,-71.05061804556966,142
14  16,LABAN PRATT RD,DORCHESTER,2122,1602159000,51,42.290912659867146,-71.05113171680779,124
14,WESTGLOW ST,DORCHESTER,2122,1602066000,51,42.28921783949535,-71.05486890318659,141
10,AURIGA ST,DORCHESTER,2122,1602064000,51,42.28939863962195,-71.05506008204253,140
18,WESTGLOW ST,DORCHESTER,2122,1602050000,51,42.2892955090882,-71.05459370563725,141
20,WESTGLOW ST,DORCHESTER,2122,1602049000,51,42.28933546256735,-71.05444788368177,141
32  34,SPAULDING ST,DORCHESTER,2122,1601937000,51,42.29206157915745,-71.05536735185464,123
42,WESTGLOW ST,DORCHESTER,2122,1601963000,51,42.2896188924361,-71.05344807478515,141
38,WESTGLOW ST,DORCHESTER,2122,1601964000,51,42.289577601949446,-71.05358676040382,141
34,WESTGLOW ST,DORCHESTER,2122,1601965000,51,42.289537214353,-71.05373235642482,141
41,GARNER RD,DORCHESTER,2122,1601972000,51,42.290135883404,-71.05415596919204,141
49,GARNER RD,DORCHESTER,2122,1601975000,51,42.2903250724422,-71.05426452154208,141
53,GARNER RD,DORCHESTER,2122,1601976000,51,42.2904359175297,-71.05432819785298,141
53,AURIGA ST,DORCHESTER,2122,1601981000,51,42.29063191267875,-71.05519965104557,123
55,AURIGA ST,DORCHESTER,2122,1601982000,51,42.2907843462009,-71.05522633629816,123
59,AURIGA ST,DORCHESTER,2122,1601983000,51,42.2908910617866,-71.05528446028387,123
32,AURIGA ST,DORCHESTER,2122,1601990000,51,42.29004158172335,-71.05545842430607,140
580,ADAMS ST,DORCHESTER,2122,1601999000,51,42.290009960757345,-71.05585828759729,140
500,ADAMS ST,DORCHESTER,2122,1602006000,51,42.292151237849595,-71.0570540450517,123
9,AINSLEY ST,DORCHESTER,2122,1602011000,51,42.29217769734235,-71.0566628774924,123
147,TRAIN ST,DORCHESTER,2122,1602021000,51,42.29066031399449,-71.0533105599285,123
155,TRAIN ST,DORCHESTER,2122,1602023000,51,42.290454734597645,-71.05318994897925,141
163,TRAIN ST,DORCHESTER,2122,1602025000,51,42.290245304989256,-71.05307061393333,141
175,TRAIN ST,DORCHESTER,2122,1602028000,51,42.289864697466854,-71.05285334848523,141
50,WESTGLOW ST,DORCHESTER,2122,1602030000,51,42.28971175080525,-71.05301613050372,141
9,MANOR ST,DORCHESTER,2122,1602033000,51,42.2900243778969,-71.05327412331326,141
48,GARNER RD,DORCHESTER,2122,1602040000,51,42.29022492321915,-71.05470680252151,141
44,GARNER RD,DORCHESTER,2122,1602041000,51,42.29010634946605,-71.05463879294385,141
40,GARNER RD,DORCHESTER,2122,1602042000,51,42.290010723856696,-71.05458365571924,141
36,GARNER RD,DORCHESTER,2122,1602043000,51,42.28991304762445,-71.05452705204854,141
24,WESTGLOW ST,DORCHESTER,2122,1602047000,51,42.28941718188349,-71.05415324534505,141
592,ASHMONT ST,DORCHESTER,2122,1602172000,51,42.290067659986306,-71.04938134699769,143
562,ASHMONT ST,DORCHESTER,2122,1602182000,51,42.2896577139579,-71.05090191580734,142
22,DAWSON ST,DORCHESTER,2124,1602849000,51,42.2898569766008,-71.0586638608992,139
5,PORT NORFOLK,DORCHESTER,2122,1602655000,51,42.289093180841,-71.04050587255553,144
7,MCKONE ST,DORCHESTER,2122,1602465000,51,42.2894551236098,-71.04710396670166,144
6  8,BLOOMINGTON ST,DORCHESTER,2122,1602482000,51,42.28978124874155,-71.04651111115575,144
26,TOLMAN ST,DORCHESTER,2122,1602485000,51,42.289476053535,-71.04651589117479,144
996,WM T MORRISSEY BL,DORCHESTER,2122,1602495000,51,42.2905666784291,-71.04586111646876,144
36,MCKONE ST,DORCHESTER,2122,1602542000,51,42.290619156478954,-71.04755502703208,144
28,MCKONE ST,DORCHESTER,2122,1602545000,51,42.2903863405262,-71.04758443143021,144
57  59,LAWLEY ST,DORCHESTER,2122,1602631000,51,42.290536758757156,-71.04109921675382,144
67,LAWLEY ST,DORCHESTER,2122,1602633000,51,42.2908119574313,-71.0410566851989,126
58,PORT NORFOLK ST,DORCHESTER,2122,1602638000,51,42.29149954835155,-71.0407238806954,126
56,PORT NORFOLK ST,DORCHESTER,2122,1602639000,51,42.29135392743005,-71.0407375515021,126
6,PORT NORFOLK ST,DORCHESTER,2122,1602651000,51,42.28906845150955,-71.04095703360717,144
3,PORT NORFOLK ST,DORCHESTER,2122,1602654000,51,42.28898013464665,-71.04051564900966,144
17,PORT NORFOLK ST,DORCHESTER,2122,1602657000,51,42.2895415662465,-71.04046805501541,144
558,ASHMONT ST,DORCHESTER,2122,1602183000,51,42.28961707109465,-71.05105659579854,142
21,PORT NORFOLK ST,DORCHESTER,2122,1602659000,51,42.2898420209611,-71.04041058172687,144
176,WALNUT ST,DORCHESTER,2122,1602673000,51,42.29073623834725,-71.03998686234121,126
172,WALNUT ST,DORCHESTER,2122,1602674010,51,42.2905909293581,-71.04000103933984,144
134,WALNUT ST,DORCHESTER,2122,1602680000,51,42.2892625965014,-71.0401203126257,144
34,WATER ST,DORCHESTER,2122,1602687000,51,42.288541044969506,-71.04116170005176,144
97,WALNUT ST,DORCHESTER,2122,1602716000,51,42.287945005996946,-71.03979544639239,144
49,REDFIELD ST,DORCHESTER,2122,1602742000,51,42.287517567652145,-71.04189945302332,144
6,LORENZO ST,DORCHESTER,2122,1602751000,51,42.2868950450101,-71.04166083439003,144
32,TAYLOR ST,DORCHESTER,2122,1602758000,51,42.286296098901346,-71.04071207804472,144
31,EDWIN ST,DORCHESTER,2124,1602796000,51,42.28901468601285,-71.06154871517813,138
65  67,EDWIN ST,DORCHESTER,2124,1602808000,51,42.2894359784567,-71.0598691488081,138
52,MSGR P J LYDON WY,DORCHESTER,2124,1602824000,51,42.288980008096345,-71.06076622852171,138
5,MCKONE ST,DORCHESTER,2122,1602464000,51,42.2893632316486,-71.04720542893531,144
15,TOLMAN ST,DORCHESTER,2122,1602428000,51,42.28889187331855,-71.04634257990958,144
3,SOUTHWICK ST,DORCHESTER,2122,1602403000,51,42.291374031522,-71.04886278954652,124
577,FREEPORT ST,DORCHESTER,2122,1602390000,51,42.29131269493555,-71.04844081894646,124
554,ASHMONT ST,DORCHESTER,2122,1602184000,51,42.28957314140255,-71.05122435131923,142
550,ASHMONT ST,DORCHESTER,2122,1602185000,51,42.28952163753105,-71.0513892787167,142
540,ASHMONT ST,DORCHESTER,2122,1602188000,51,42.289438006692,-71.05189794657102,142
176,TRAIN ST,DORCHESTER,2122,1602190000,51,42.2893948015951,-71.05209140174455,142
172,TRAIN ST,DORCHESTER,2122,1602191000,51,42.2894925908727,-71.05214318695917,142
168,TRAIN ST,DORCHESTER,2122,1602192000,51,42.289588511463606,-71.05221138522116,142
164,TRAIN ST,DORCHESTER,2122,1602193000,51,42.28968681789925,-71.05226456578232,142
55,WESTGLOW ST,DORCHESTER,2122,1602194000,51,42.2896331246424,-71.0520089733622,142
