name,WKT,x,y,counts
173,"POLYGON ((-71.0706025 42.2814643,-71.0683764 42.2814643,-71.0683764 42.2768808,-71.0706025 42.2768808,-71.0706025 42.2814643))",10.0,13.0,51.0
174,"POLYGON ((-71.0683764 42.2814643,-71.0616981 42.2814643,-71.0616981 42.2768808,-71.0683764 42.2768808,-71.0683764 42.2814643))",10.0,13.0,67.0
175,"POLYGON ((-71.0616981 42.2814643,-71.0572459 42.2814643,-71.0572459 42.2768808,-71.0616981 42.2768808,-71.0616981 42.2814643))",12.0,13.0,51.0
176,"POLYGON ((-71.0572459 42.2814643,-71.0527937 42.2814643,-71.0527937 42.2768808,-71.0572459 42.2768808,-71.0572459 42.2814643))",13.0,13.0,44.0
177,"POLYGON ((-71.0527937 42.2814643,-71.0483415 42.2814643,-71.0483415 42.2768808,-71.0527937 42.2768808,-71.0527937 42.2814643))",14.0,13.0,54.0
180,"POLYGON ((-71.1106723 42.2768808,-71.1017679 42.2768808,-71.1017679 42.2722973,-71.1106723 42.2722973,-71.1106723 42.2768808))",1.0,14.0,49.0
181,"POLYGON ((-71.1017679 42.2768808,-71.0995418 42.2768808,-71.0995418 42.2722973,-71.1017679 42.2722973,-71.1017679 42.2768808))",3.0,14.0,61.0
182,"POLYGON ((-71.0995418 42.2768808,-71.0973157 42.2768808,-71.0973157 42.2722973,-71.0995418 42.2722973,-71.0995418 42.2768808))",3.0,14.0,44.0
183,"POLYGON ((-71.0973157 42.2768808,-71.0906374 42.2768808,-71.0906374 42.2722973,-71.0973157 42.2722973,-71.0973157 42.2768808))",4.0,14.0,62.0
184,"POLYGON ((-71.0906374 42.2768808,-71.0884113 42.2768808,-71.0884113 42.2722973,-71.0906374 42.2722973,-71.0906374 42.2768808))",5.0,14.0,75.0
185,"POLYGON ((-71.0884113 42.2768808,-71.0861852 42.2768808,-71.0861852 42.2722973,-71.0884113 42.2722973,-71.0884113 42.2768808))",6.0,14.0,52.0
186,"POLYGON ((-71.0861852 42.2768808,-71.0839591 42.2768808,-71.0839591 42.2722973,-71.0861852 42.2722973,-71.0861852 42.2768808))",6.0,14.0,46.0
187,"POLYGON ((-71.0839591 42.2768808,-71.0783938 42.2768808,-71.0783938 42.2722973,-71.0839591 42.2722973,-71.0839591 42.2768808))",7.0,14.0,43.0
188,"POLYGON ((-71.0783938 42.2768808,-71.0772808 42.2768808,-71.0772808 42.2722973,-71.0783938 42.2722973,-71.0783938 42.2768808))",8.0,14.0,44.0
189,"POLYGON ((-71.0772808 42.2768808,-71.0750547 42.2768808,-71.0750547 42.2722973,-71.0772808 42.2722973,-71.0772808 42.2768808))",8.0,14.0,77.0
190,"POLYGON ((-71.0750547 42.2768808,-71.0728286 42.2768808,-71.0728286 42.2722973,-71.0750547 42.2722973,-71.0750547 42.2768808))",9.0,14.0,52.0
191,"POLYGON ((-71.0728286 42.2768808,-71.0706025 42.2768808,-71.0706025 42.2722973,-71.0728286 42.2722973,-71.0728286 42.2768808))",9.0,14.0,55.0
192,"POLYGON ((-71.0706025 42.2768808,-71.0572459 42.2768808,-71.0572459 42.2722973,-71.0706025 42.2722973,-71.0706025 42.2768808))",10.0,14.0,76.0
198,"POLYGON ((-71.1062201 42.2722973,-71.1028809 42.2722973,-71.1028809 42.2677138,-71.1062201 42.2677138,-71.1062201 42.2722973))",2.0,15.0,54.0
199,"POLYGON ((-71.1028809 42.2722973,-71.1017679 42.2722973,-71.1017679 42.2677138,-71.1028809 42.2677138,-71.1028809 42.2722973))",2.0,15.0,44.0
200,"POLYGON ((-71.1017679 42.2722973,-71.0995418 42.2722973,-71.0995418 42.2677138,-71.1017679 42.2677138,-71.1017679 42.2722973))",3.0,15.0,50.0
201,"POLYGON ((-71.0995418 42.2722973,-71.0973157 42.2722973,-71.0973157 42.2677138,-71.0995418 42.2677138,-71.0995418 42.2722973))",3.0,15.0,45.0
202,"POLYGON ((-71.0973157 42.2722973,-71.0928635 42.2722973,-71.0928635 42.2677138,-71.0973157 42.2677138,-71.0973157 42.2722973))",4.0,15.0,40.0
203,"POLYGON ((-71.0928635 42.2722973,-71.0884113 42.2722973,-71.0884113 42.2677138,-71.0928635 42.2677138,-71.0928635 42.2722973))",5.0,15.0,43.0
204,"POLYGON ((-71.0884113 42.2722973,-71.0839591 42.2722973,-71.0839591 42.2677138,-71.0884113 42.2677138,-71.0884113 42.2722973))",6.0,15.0,64.0
205,"POLYGON ((-71.0839591 42.2722973,-71.0795069 42.2722973,-71.0795069 42.2677138,-71.0839591 42.2677138,-71.0839591 42.2722973))",7.0,15.0,44.0
206,"POLYGON ((-71.0795069 42.2722973,-71.0572459 42.2722973,-71.0572459 42.2677138,-71.0795069 42.2677138,-71.0795069 42.2722973))",8.0,15.0,57.0
212,"POLYGON ((-71.1062201 42.2677138,-71.1017679 42.2677138,-71.1017679 42.2631303,-71.1062201 42.2631303,-71.1062201 42.2677138))",2.0,16.0,2.0
213,"POLYGON ((-71.1017679 42.2677138,-71.0995418 42.2677138,-71.0995418 42.2631303,-71.1017679 42.2631303,-71.1017679 42.2677138))",3.0,16.0,27.0
214,"POLYGON ((-71.0995418 42.2677138,-71.0973157 42.2677138,-71.0973157 42.2631303,-71.0995418 42.2631303,-71.0995418 42.2677138))",3.0,16.0,50.0
215,"POLYGON ((-71.0973157 42.2677138,-71.0928635 42.2677138,-71.0928635 42.2631303,-71.0973157 42.2631303,-71.0973157 42.2677138))",4.0,16.0,14.0
